    0.018	    0.005	    0.437	   -1.528	    0.273	    0.091	    0.323	  -10.000
    0.018	   -0.143	    0.526	   -0.698	    0.185	    0.118	    0.220	   -9.980
    0.018	    0.006	    0.682	   -0.194	    0.181	    0.133	    0.173	   -9.960
    0.019	   -0.179	    0.704	    0.092	    0.176	    0.138	    0.150	   -9.940
    0.021	    0.005	    0.641	    0.264	    0.182	    0.140	    0.138	   -9.920
    0.021	    0.005	    0.627	    0.374	    0.185	    0.141	    0.132	   -9.900
    0.022	   -0.195	    0.574	    0.414	    0.182	    0.139	    0.129	   -9.880
    0.023	    0.006	    0.522	    0.404	    0.183	    0.141	    0.126	   -9.860
    0.024	    0.005	    0.483	    0.388	    0.180	    0.142	    0.126	   -9.840
    0.023	   -0.200	    0.445	    0.363	    0.184	    0.143	    0.126	   -9.820
    0.023	   -0.199	    0.388	    0.335	    0.186	    0.143	    0.126	   -9.800
    0.024	    0.006	    0.359	    0.308	    0.186	    0.144	    0.126	   -9.780
    0.025	    0.005	    0.342	    0.291	    0.184	    0.144	    0.127	   -9.760
    0.024	   -0.176	    0.316	    0.270	    0.189	    0.145	    0.127	   -9.740
    0.024	    0.006	    0.364	    0.237	    0.187	    0.146	    0.127	   -9.720
    0.025	    0.005	    0.324	    0.215	    0.190	    0.147	    0.127	   -9.700
    0.024	    0.290	    0.304	    0.188	    0.192	    0.150	    0.129	   -9.680
    0.024	    0.316	    0.302	    0.181	    0.200	    0.154	    0.131	   -9.660
    0.025	    0.005	    0.298	    0.172	    0.195	    0.153	    0.132	   -9.640
    0.024	    0.005	    0.280	    0.153	    0.198	    0.155	    0.133	   -9.620
    0.024	   -0.082	    0.252	    0.136	    0.204	    0.158	    0.135	   -9.600
    0.023	   -0.136	    0.217	    0.114	    0.201	    0.159	    0.137	   -9.580
    0.023	    0.005	    0.201	    0.101	    0.205	    0.161	    0.138	   -9.560
    0.023	    0.005	    0.182	    0.087	    0.208	    0.162	    0.139	   -9.540
    0.023	   -0.168	    0.165	    0.069	    0.208	    0.164	    0.141	   -9.520
    0.022	   -0.038	    0.211	    0.061	    0.211	    0.167	    0.143	   -9.500
    0.023	    0.090	    0.243	    0.100	    0.211	    0.168	    0.146	   -9.480
    0.023	   -0.027	    0.322	    0.172	    0.220	    0.169	    0.147	   -9.460
    0.023	    0.004	    0.328	    0.226	    0.218	    0.171	    0.149	   -9.440
    0.023	    0.005	    0.305	    0.239	    0.221	    0.175	    0.151	   -9.420
    0.023	   -0.176	    0.269	    0.215	    0.224	    0.178	    0.153	   -9.400
    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	   -9.380
    0.023	    0.005	    0.079	    0.165	    0.238	    0.183	    0.156	   -9.360
    0.023	   -0.200	    0.014	    0.106	    0.241	    0.186	    0.160	   -9.340
    0.023	   -0.187	    0.003	    0.041	    0.239	    0.188	    0.163	   -9.320
    0.023	   -0.189	   -0.024	   -0.009	    0.245	    0.192	    0.166	   -9.300
    0.024	    0.006	   -0.015	   -0.034	    0.246	    0.195	    0.169	   -9.280
    0.023	    0.005	    0.022	   -0.034	    0.255	    0.201	    0.174	   -9.260
    0.023	   -0.167	    0.055	   -0.026	    0.254	    0.204	    0.177	   -9.240
    0.023	   -0.172	    0.085	   -0.020	    0.255	    0.207	    0.180	   -9.220
    0.023	    0.006	    0.031	   -0.004	    0.266	    0.213	    0.184	   -9.200
    0.023	   -0.167	    0.028	    0.002	    0.274	    0.217	    0.189	   -9.180
    0.023	   -0.173	    0.031	    0.015	    0.272	    0.219	    0.191	   -9.160
    0.023	    0.006	    0.125	   -0.016	    0.278	    0.223	    0.194	   -9.140
    0.023	   -0.141	    0.039	    0.009	    0.285	    0.229	    0.198	   -9.120
    0.023	   -0.112	    0.019	    0.020	    0.285	    0.232	    0.203	   -9.100
    0.022	    0.005	   -0.011	    0.006	    0.290	    0.234	    0.206	   -9.080
    0.023	   -0.140	   -0.033	   -0.023	    0.287	    0.236	    0.208	   -9.060
    0.023	   -0.173	   -0.048	   -0.060	    0.289	    0.240	    0.211	   -9.040
    0.023	    0.005	   -0.072	   -0.097	    0.295	    0.246	    0.214	   -9.020
    0.023	    0.005	   -0.048	   -0.108	    0.298	    0.247	    0.216	   -9.000
    0.023	   -0.199	   -0.030	   -0.104	    0.305	    0.250	    0.219	   -8.980
    0.023	   -0.193	   -0.043	   -0.092	    0.308	    0.255	    0.223	   -8.960
    0.023	    0.005	   -0.021	   -0.074	    0.308	    0.260	    0.229	   -8.940
    0.023	    0.005	    0.002	   -0.045	    0.313	    0.261	    0.231	   -8.920
    0.022	   -0.189	    0.086	   -0.030	    0.312	    0.262	    0.232	   -8.900
    0.023	   -0.196	    0.078	   -0.016	    0.313	    0.266	    0.235	   -8.880
    0.023	    0.005	    0.059	   -0.017	    0.320	    0.269	    0.237	   -8.860
    0.022	    0.037	    0.044	   -0.023	    0.324	    0.270	    0.239	   -8.840
    0.022	    0.357	    0.054	   -0.031	    0.324	    0.273	    0.241	   -8.820
    0.022	    0.005	    0.064	   -0.029	    0.327	    0.273	    0.243	   -8.800
    0.022	    0.005	    0.057	   -0.032	    0.321	    0.275	    0.244	   -8.780
    0.022	   -0.123	    0.040	   -0.036	    0.333	    0.277	    0.246	   -8.760
    0.022	   -0.126	    0.006	   -0.043	    0.330	    0.278	    0.248	   -8.740
    0.022	    0.005	   -0.003	   -0.059	    0.331	    0.279	    0.250	   -8.720
    0.022	    0.005	   -0.003	   -0.065	    0.337	    0.280	    0.251	   -8.700
    0.023	   -0.055	   -0.000	   -0.068	    0.331	    0.280	    0.251	   -8.680
    0.022	   -0.162	   -0.005	   -0.082	    0.332	    0.281	    0.252	   -8.660
    0.023	    0.006	   -0.006	   -0.086	    0.335	    0.283	    0.253	   -8.640
    0.022	    0.005	    0.007	   -0.089	    0.336	    0.284	    0.254	   -8.620
    0.023	   -0.185	    0.012	   -0.072	    0.331	    0.283	    0.254	   -8.600
    0.023	    0.004	    0.045	   -0.045	    0.329	    0.283	    0.255	   -8.580
    0.022	    0.005	    0.142	    0.003	    0.328	    0.281	    0.255	   -8.560
    0.023	   -0.183	    0.216	    0.071	    0.327	    0.279	    0.254	   -8.540
    0.023	   -0.185	    0.281	    0.136	    0.321	    0.275	    0.252	   -8.520
    0.022	    0.004	    0.301	    0.186	    0.323	    0.274	    0.250	   -8.500
    0.022	    0.005	    0.285	    0.206	    0.315	    0.273	    0.249	   -8.480
    0.023	   -0.158	    0.192	    0.201	    0.317	    0.271	    0.247	   -8.460
    0.023	    0.005	    0.142	    0.168	    0.313	    0.269	    0.246	   -8.440
    0.023	    0.004	    0.130	    0.152	    0.311	    0.266	    0.244	   -8.420
    0.023	   -0.184	    0.125	    0.141	    0.307	    0.262	    0.241	   -8.400
    0.023	   -0.121	    0.110	    0.138	    0.298	    0.258	    0.237	   -8.380
    0.023	   -0.083	    0.077	    0.116	    0.291	    0.252	    0.233	   -8.360
    0.023	   -0.132	    0.018	    0.056	    0.289	    0.249	    0.229	   -8.340
    0.023	    0.005	   -0.049	   -0.026	    0.284	    0.247	    0.225	   -8.320
    0.023	    0.005	   -0.123	   -0.094	    0.277	    0.243	    0.222	   -8.300
    0.023	    0.006	   -0.169	   -0.125	    0.274	    0.235	    0.217	   -8.280
    0.023	    0.004	   -0.218	   -0.142	    0.264	    0.228	    0.213	   -8.260
    0.022	   -0.180	   -0.247	   -0.163	    0.193	    0.195	    0.198	   -8.240
    0.023	   -0.196	   -0.193	   -0.182	    0.189	    0.168	    0.179	   -8.220
    0.022	   -0.187	   -0.057	   -0.184	    0.178	    0.156	    0.161	   -8.200
    0.020	    0.005	    0.080	   -0.107	    0.172	    0.147	    0.147	   -8.180
    0.020	    0.005	    0.320	    0.021	    0.161	    0.138	    0.136	   -8.160
    0.020	    0.005	    0.386	    0.126	    0.154	    0.130	    0.126	   -8.140
    0.020	   -0.096	    0.341	    0.183	    0.144	    0.122	    0.117	   -8.120
    0.019	   -0.157	    0.181	    0.190	    0.144	    0.117	    0.110	   -8.100
    0.019	   -0.191	    0.079	    0.162	    0.133	    0.109	    0.104	   -8.080
    0.019	   -0.195	   -0.014	    0.108	    0.130	    0.101	    0.097	   -8.060
    0.019	    0.005	   -0.099	    0.024	    0.124	    0.096	    0.090	   -8.040
    0.018	    0.004	   -0.252	   -0.111	    0.110	    0.089	    0.084	   -8.020
    0.018	    0.005	   -0.335	   -0.234	    0.101	    0.080	    0.077	   -8.000
    0.018	    0.005	   -0.410	   -0.312	    0.095	    0.073	    0.069	   -7.980
    0.018	   -0.185	   -0.423	   -0.342	    0.087	    0.065	    0.062	   -7.960
    0.018	   -0.182	   -0.396	   -0.352	    0.081	    0.056	    0.055	   -7.940
    0.018	   -0.197	   -0.360	   -0.338	    0.071	    0.048	    0.047	   -7.920
    0.017	   -0.197	   -0.244	   -0.320	    0.064	    0.042	    0.041	   -7.900
    0.017	    0.005	   -0.198	   -0.298	    0.063	    0.038	    0.035	   -7.880
    0.017	    0.004	   -0.138	   -0.269	    0.052	    0.033	    0.029	   -7.860
    0.018	    0.004	   -0.115	   -0.240	    0.049	    0.027	    0.024	   -7.840
    0.017	   -0.033	   -0.145	   -0.193	    0.047	    0.023	    0.019	   -7.820
    0.017	   -0.025	   -0.125	   -0.150	    0.042	    0.017	    0.015	   -7.800
    0.018	   -0.106	   -0.124	   -0.121	    0.039	    0.013	    0.011	   -7.780
    0.019	   -0.146	   -0.104	   -0.123	    0.038	    0.010	    0.006	   -7.760
    0.018	    0.005	   -0.059	   -0.139	    0.027	    0.006	    0.002	   -7.740
    0.018	    0.004	   -0.035	   -0.139	    0.023	    0.002	   -0.002	   -7.720
    0.018	    0.004	   -0.050	   -0.125	    0.022	   -0.004	   -0.007	   -7.700
    0.018	    0.004	   -0.080	   -0.095	    0.019	   -0.008	   -0.010	   -7.680
    0.018	   -0.180	   -0.090	   -0.077	    0.016	   -0.011	   -0.013	   -7.660
    0.019	   -0.192	   -0.089	   -0.071	    0.012	   -0.013	   -0.017	   -7.640
    0.018	   -0.199	   -0.048	   -0.072	    0.006	   -0.015	   -0.019	   -7.620
    0.018	    0.004	    0.012	   -0.084	    0.006	   -0.018	   -0.022	   -7.600
    0.017	    0.004	    0.040	   -0.081	    0.002	   -0.019	   -0.024	   -7.580
    0.017	    0.005	    0.049	   -0.057	    0.008	   -0.019	   -0.026	   -7.560
    0.018	    0.003	    0.001	   -0.019	    0.002	   -0.023	   -0.028	   -7.540
    0.017	    0.004	   -0.013	    0.002	    0.002	   -0.026	   -0.030	   -7.520
    0.017	   -0.198	   -0.018	   -0.003	    0.002	   -0.027	   -0.031	   -7.500
    0.017	   -0.094	   -0.073	   -0.056	   -0.003	   -0.027	   -0.033	   -7.480
    0.017	   -0.186	   -0.133	   -0.127	    0.002	   -0.026	   -0.033	   -7.460
    0.016	    0.130	   -0.146	   -0.166	   -0.002	   -0.028	   -0.035	   -7.440
    0.017	    0.004	   -0.235	   -0.175	    0.004	   -0.028	   -0.035	   -7.420
    0.017	    0.005	   -0.263	   -0.190	   -0.002	   -0.031	   -0.036	   -7.400
    0.018	    0.005	   -0.234	   -0.209	    0.003	   -0.031	   -0.037	   -7.380
    0.019	    0.004	   -0.203	   -0.236	    0.004	   -0.029	   -0.037	   -7.360
    0.018	   -0.194	   -0.198	   -0.255	    0.001	   -0.028	   -0.037	   -7.340
    0.018	   -0.188	   -0.199	   -0.269	    0.002	   -0.027	   -0.036	   -7.320
    0.018	   -0.191	   -0.209	   -0.272	    0.005	   -0.026	   -0.036	   -7.300
    0.018	    0.004	   -0.213	   -0.257	    0.006	   -0.023	   -0.034	   -7.280
    0.017	    0.005	   -0.272	   -0.241	    0.011	   -0.020	   -0.032	   -7.260
    0.018	   -0.201	   -0.284	   -0.252	    0.013	   -0.019	   -0.030	   -7.240
    0.017	   -0.181	   -0.282	   -0.244	    0.016	   -0.019	   -0.029	   -7.220
    0.017	   -0.164	   -0.285	   -0.244	    0.018	   -0.018	   -0.027	   -7.200
    0.017	   -0.095	   -0.247	   -0.247	    0.018	   -0.016	   -0.026	   -7.180
    0.016	    0.004	   -0.192	   -0.260	    0.020	   -0.013	   -0.023	   -7.160
    0.016	    0.005	   -0.156	   -0.259	    0.023	   -0.011	   -0.022	   -7.140
    0.017	    0.004	   -0.145	   -0.240	    0.025	   -0.008	   -0.020	   -7.120
    0.017	    0.004	   -0.182	   -0.203	    0.031	   -0.005	   -0.018	   -7.100
    0.017	   -0.033	   -0.177	   -0.172	    0.033	   -0.004	   -0.016	   -7.080
    0.017	   -0.099	   -0.160	   -0.158	    0.039	   -0.001	   -0.013	   -7.060
    0.017	   -0.175	   -0.114	   -0.172	    0.035	    0.002	   -0.011	   -7.040
    0.017	   -0.179	   -0.105	   -0.188	    0.040	    0.005	   -0.009	   -7.020
    0.017	    0.004	   -0.094	   -0.186	    0.045	    0.009	   -0.007	   -7.000
    0.017	    0.003	   -0.132	   -0.168	    0.043	    0.010	   -0.003	   -6.980
    0.017	    0.004	   -0.134	   -0.141	    0.047	    0.011	   -0.002	   -6.960
    0.018	    0.005	   -0.128	   -0.117	    0.054	    0.014	    0.001	   -6.940
    0.018	   -0.186	   -0.126	   -0.112	    0.054	    0.016	    0.003	   -6.920
