    1.855	    0.154	   -0.182	    0.345	   -5.500
    1.854	    0.156	   -0.012	    0.336	   -5.497
    1.852	    0.175	   -0.181	    0.340	   -5.493
    1.819	    0.002	   -0.220	    0.337	   -5.489
    1.767	    0.003	   -0.273	    0.339	   -5.486
    1.677	    0.172	   -0.049	    0.332	   -5.482
    1.562	    0.002	   -0.077	    0.332	   -5.479
    1.450	    0.168	   -0.155	    0.337	   -5.476
    1.310	    0.168	   -0.076	    0.336	   -5.472
    1.251	    0.004	   -0.233	    0.341	   -5.468
    1.180	    0.147	   -0.104	    0.334	   -5.465
    1.125	    0.002	   -0.106	    0.336	   -5.462
    1.086	    0.139	   -0.121	    0.338	   -5.458
    1.047	    0.002	   -0.152	    0.337	   -5.455
    1.036	    0.170	   -0.200	    0.339	   -5.451
    1.019	    0.002	   -0.086	    0.334	   -5.447
    1.009	    0.004	   -0.072	    0.337	   -5.444
    1.005	    0.165	   -0.080	    0.338	   -5.441
    1.002	    0.003	    0.110	    0.333	   -5.437
    1.006	    0.166	   -0.121	    0.337	   -5.434
    1.008	    0.165	    0.114	    0.333	   -5.430
    1.007	    0.003	   -0.004	    0.337	   -5.426
    1.009	    0.189	   -0.097	    0.338	   -5.423
    1.009	    0.002	    0.096	    0.331	   -5.420
    1.010	    0.178	   -0.081	    0.338	   -5.416
    1.014	    0.002	   -0.123	    0.340	   -5.412
    1.014	    0.161	   -0.028	    0.337	   -5.409
    1.013	    0.004	    0.053	    0.335	   -5.405
    1.013	    0.002	    0.172	    0.334	   -5.402
    1.011	    0.146	   -0.063	    0.341	   -5.399
    1.010	    0.154	    0.146	    0.335	   -5.395
    1.008	    0.161	    0.129	    0.336	   -5.391
    1.010	    0.173	    0.182	    0.338	   -5.388
    1.017	    0.171	    0.246	    0.336	   -5.385
    1.022	    0.182	   -0.018	    0.340	   -5.381
    1.024	    0.004	    0.179	    0.336	   -5.378
    1.028	    0.172	    0.089	    0.339	   -5.374
    1.036	    0.182	    0.008	    0.340	   -5.370
    1.037	    0.183	    0.222	    0.336	   -5.367
    1.044	    0.004	    0.065	    0.341	   -5.364
    1.051	    0.164	    0.111	    0.339	   -5.360
    1.056	    0.146	    0.080	    0.337	   -5.356
    1.067	    0.002	    0.222	    0.336	   -5.353
    1.071	    0.148	    0.239	    0.337	   -5.349
    1.074	    0.147	    0.187	    0.339	   -5.346
