    0.354	    0.202	   -0.020	    2.484	  -10.000
    0.879	    0.227	    0.006	    1.922	   -9.980
    0.352	    0.214	    0.005	    1.547	   -9.960
    0.059	    0.217	    0.005	    1.274	   -9.940
    0.014	    0.214	    0.010	    0.967	   -9.920
    0.013	    0.217	    0.008	    0.754	   -9.900
    0.012	    0.214	    0.009	    0.539	   -9.880
    0.010	    0.216	   -0.003	    0.503	   -9.860
    0.018	    0.218	    0.001	    0.429	   -9.840
    0.017	    0.217	    0.001	    0.306	   -9.820
    0.005	    0.215	    0.004	    0.209	   -9.800
    0.013	    0.217	    0.000	    0.165	   -9.780
    0.017	    0.213	    0.009	    0.144	   -9.760
    0.010	    0.213	    0.002	    0.095	   -9.740
    0.012	    0.216	    0.007	    0.156	   -9.720
    0.013	    0.213	    0.013	    0.063	   -9.700
    0.009	    0.215	    0.009	    0.055	   -9.680
    0.012	    0.215	    0.004	    0.038	   -9.660
    0.019	    0.215	    0.001	    0.134	   -9.640
    0.011	    0.216	    0.000	    0.109	   -9.620
    0.019	    0.213	    0.002	    0.043	   -9.600
    0.017	    0.214	    0.011	    0.057	   -9.580
    0.014	    0.212	   -0.004	    0.010	   -9.560
    0.010	    0.212	    0.003	    0.039	   -9.540
    0.016	    0.212	    0.010	    0.085	   -9.520
    0.013	    0.213	    0.008	    0.014	   -9.500
    0.008	    0.210	    0.005	   -0.009	   -9.480
    0.008	    0.207	    0.009	   -0.005	   -9.460
    0.014	    0.212	    0.003	    0.069	   -9.440
    0.010	    0.211	    0.011	    0.091	   -9.420
    0.018	    0.212	    0.007	    0.047	   -9.400
    0.018	    0.210	    0.006	   -0.018	   -9.380
    0.014	    0.211	    0.001	   -0.006	   -9.360
    0.014	    0.213	    0.001	    0.074	   -9.340
    0.018	    0.211	    0.004	    0.073	   -9.320
    0.004	    0.211	   -0.004	    0.043	   -9.300
    0.000	    0.212	    0.008	   -0.036	   -9.280
    0.011	    0.211	    0.004	   -0.034	   -9.260
    0.003	    0.211	    0.008	    0.028	   -9.240
    0.009	    0.213	   -0.001	    0.081	   -9.220
    0.017	    0.208	    0.009	    0.033	   -9.200
    0.014	    0.211	    0.008	    0.011	   -9.180
    0.014	    0.213	    0.004	   -0.024	   -9.160
    0.013	    0.210	   -0.001	    0.032	   -9.140
    0.006	    0.210	    0.002	    0.080	   -9.120
    0.006	    0.212	    0.006	    0.046	   -9.100
    0.009	    0.210	    0.001	    0.013	   -9.080
    0.009	    0.208	   -0.002	   -0.037	   -9.060
    0.009	    0.209	   -0.002	    0.010	   -9.040
    0.012	    0.208	   -0.003	   -0.023	   -9.020
    0.013	    0.211	   -0.002	    0.060	   -9.000
    0.015	    0.211	    0.003	    0.023	   -8.980
    0.015	    0.210	    0.001	   -0.020	   -8.960
    0.019	    0.209	    0.004	   -0.006	   -8.940
    0.013	    0.210	    0.006	    0.091	   -8.920
    0.010	    0.211	    0.005	    0.074	   -8.900
    0.013	    0.211	    0.006	    0.030	   -8.880
    0.016	    0.213	    0.001	   -0.010	   -8.860
    0.011	    0.209	   -0.003	   -0.014	   -8.840
    0.019	    0.210	   -0.002	    0.034	   -8.820
   -0.011	    0.208	   -0.000	    0.060	   -8.800
   -0.009	    0.209	    0.006	   -0.007	   -8.780
    0.002	    0.210	    0.009	   -0.015	   -8.760
    0.007	    0.209	    0.005	   -0.018	   -8.740
    0.025	    0.210	    0.001	    0.064	   -8.720
    0.024	    0.211	    0.007	    0.064	   -8.700
    0.014	    0.211	    0.004	    0.056	   -8.680
    0.014	    0.207	    0.008	   -0.008	   -8.660
    0.010	    0.210	    0.009	   -0.018	   -8.640
    0.010	    0.207	   -0.002	    0.056	   -8.620
    0.002	    0.205	   -0.001	    0.066	   -8.600
    0.005	    0.208	   -0.003	    0.060	   -8.580
    0.015	    0.205	   -0.001	   -0.025	   -8.560
    0.016	    0.208	   -0.007	   -0.022	   -8.540
    0.018	    0.205	    0.002	    0.008	   -8.520
    0.020	    0.208	    0.005	    0.074	   -8.500
    0.014	    0.209	   -0.003	    0.049	   -8.480
    0.005	    0.210	   -0.001	    0.000	   -8.460
   -0.003	    0.207	   -0.003	   -0.049	   -8.440
   -0.005	    0.208	    0.004	    0.034	   -8.420
   -0.000	    0.209	    0.003	    0.069	   -8.400
    0.007	    0.208	    0.003	    0.050	   -8.380
    0.012	    0.205	   -0.001	   -0.027	   -8.360
    0.007	    0.204	   -0.009	   -0.053	   -8.340
    0.007	    0.206	   -0.007	   -0.025	   -8.320
    0.007	    0.205	   -0.011	   -0.014	   -8.300
    0.004	    0.208	    0.006	    0.114	   -8.280
    0.001	    0.206	    0.003	    0.076	   -8.260
    0.010	    0.205	    0.003	    0.018	   -8.240
    0.010	    0.206	   -0.005	    0.047	   -8.220
    0.005	    0.207	   -0.005	    0.096	   -8.200
    0.016	    0.207	   -0.003	    0.078	   -8.180
    0.014	    0.209	    0.004	    0.034	   -8.160
    0.012	    0.209	   -0.002	   -0.080	   -8.140
    0.014	    0.207	   -0.007	   -0.039	   -8.120
    0.013	    0.206	   -0.009	   -0.030	   -8.100
    0.009	    0.205	   -0.010	    0.020	   -8.080
    0.009	    0.204	   -0.009	   -0.033	   -8.060
    0.011	    0.207	   -0.010	   -0.061	   -8.040
    0.014	    0.205	   -0.006	   -0.068	   -8.020
    0.019	    0.204	   -0.001	   -0.002	   -8.000
    0.017	    0.204	   -0.003	    0.034	   -7.980
    0.019	    0.204	   -0.003	    0.020	   -7.960
    0.016	    0.202	   -0.004	   -0.033	   -7.940
    0.014	    0.205	   -0.002	   -0.049	   -7.920
    0.009	    0.204	   -0.001	    0.001	   -7.900
    0.004	    0.203	   -0.002	    0.019	   -7.880
    0.010	    0.204	   -0.007	    0.013	   -7.860
    0.013	    0.202	   -0.009	   -0.070	   -7.840
    0.013	    0.202	   -0.013	   -0.088	   -7.820
    0.019	    0.204	   -0.012	   -0.049	   -7.800
    0.024	    0.205	   -0.008	    0.014	   -7.780
    0.014	    0.203	   -0.004	   -0.016	   -7.760
    0.009	    0.207	    0.002	   -0.054	   -7.740
    0.012	    0.204	   -0.004	   -0.116	   -7.720
    0.002	    0.205	   -0.004	   -0.077	   -7.700
    0.002	    0.206	   -0.008	   -0.026	   -7.680
    0.009	    0.202	   -0.002	   -0.004	   -7.660
    0.011	    0.203	   -0.003	   -0.054	   -7.640
    0.020	    0.202	   -0.011	   -0.085	   -7.620
    0.021	    0.201	   -0.016	   -0.076	   -7.600
    0.019	    0.203	   -0.009	   -0.008	   -7.580
    0.015	    0.199	   -0.014	    0.021	   -7.560
    0.014	    0.201	   -0.019	    0.002	   -7.540
    0.011	    0.199	   -0.014	   -0.039	   -7.520
    0.002	    0.204	   -0.012	   -0.002	   -7.500
    0.005	    0.202	   -0.008	    0.070	   -7.480
    0.013	    0.201	   -0.009	    0.122	   -7.460
    0.010	    0.206	   -0.016	    0.127	   -7.440
    0.012	    0.203	   -0.009	    0.055	   -7.420
    0.013	    0.201	   -0.008	    0.075	   -7.400
    0.010	    0.201	   -0.007	    0.137	   -7.380
    0.009	    0.199	   -0.016	    0.202	   -7.360
    0.007	    0.201	   -0.020	    0.181	   -7.340
    0.003	    0.201	   -0.021	    0.099	   -7.320
    0.003	    0.202	   -0.017	    0.047	   -7.300
    0.016	    0.200	   -0.009	    0.069	   -7.280
    0.022	    0.201	   -0.011	    0.109	   -7.260
    0.012	    0.199	   -0.020	    0.074	   -7.240
    0.012	    0.199	   -0.019	   -0.064	   -7.220
    0.008	    0.201	   -0.019	   -0.094	   -7.200
   -0.005	    0.199	   -0.014	   -0.067	   -7.180
   -0.003	    0.199	   -0.012	    0.006	   -7.160
    0.006	    0.200	   -0.014	    0.019	   -7.140
    0.015	    0.198	   -0.021	   -0.027	   -7.120
    0.017	    0.197	   -0.013	    0.024	   -7.100
    0.027	    0.195	   -0.020	   -0.049	   -7.080
    0.017	    0.195	   -0.020	    0.034	   -7.060
    0.011	    0.194	   -0.019	    0.042	   -7.040
    0.002	    0.196	   -0.025	    0.005	   -7.020
   -0.009	    0.194	   -0.018	   -0.076	   -7.000
   -0.005	    0.195	   -0.020	   -0.036	   -6.980
    0.008	    0.197	   -0.020	   -0.002	   -6.960
    0.027	    0.198	   -0.026	   -0.052	   -6.940
    0.028	    0.198	   -0.020	    0.011	   -6.920
    0.025	    0.197	   -0.020	   -0.055	   -6.900
    0.015	    0.195	   -0.022	   -0.054	   -6.880
    0.004	    0.196	   -0.028	    0.034	   -6.860
   -0.004	    0.193	   -0.027	    0.045	   -6.840
   -0.008	    0.195	   -0.025	    0.042	   -6.820
   -0.007	    0.196	   -0.030	   -0.017	   -6.800
    0.007	    0.192	   -0.020	   -0.067	   -6.780
    0.024	    0.195	   -0.023	   -0.010	   -6.760
    0.025	    0.194	   -0.020	    0.043	   -6.740
    0.026	    0.196	   -0.027	    0.013	   -6.720
    0.020	    0.193	   -0.025	   -0.045	   -6.700
    0.008	    0.195	   -0.026	   -0.026	   -6.680
   -0.006	    0.198	   -0.025	   -0.025	   -6.660
   -0.002	    0.199	   -0.026	    0.048	   -6.640
    0.009	    0.197	   -0.033	   -0.000	   -6.620
    0.006	    0.196	   -0.024	   -0.015	   -6.600
    0.013	    0.197	   -0.031	   -0.053	   -6.580
    0.013	    0.197	   -0.032	   -0.015	   -6.560
    0.005	    0.197	   -0.030	   -0.051	   -6.540
    0.008	    0.196	   -0.037	    0.039	   -6.520
    0.004	    0.200	   -0.023	   -0.008	   -6.500
    0.001	    0.197	   -0.031	   -0.068	   -6.480
    0.006	    0.195	   -0.027	   -0.054	   -6.460
    0.007	    0.194	   -0.029	    0.001	   -6.440
    0.009	    0.202	   -0.026	    0.056	   -6.420
    0.014	    0.189	   -0.026	   -0.009	   -6.400
    0.012	    0.193	   -0.032	   -0.032	   -6.380
    0.009	    0.195	   -0.042	   -0.041	   -6.360
    0.003	    0.196	   -0.041	    0.000	   -6.340
    0.002	    0.197	   -0.038	    0.032	   -6.320
    0.006	    0.192	   -0.027	    0.010	   -6.300
    0.008	    0.193	   -0.032	   -0.066	   -6.280
    0.012	    0.196	   -0.029	   -0.053	   -6.260
    0.024	    0.193	   -0.028	   -0.023	   -6.240
    0.026	    0.195	   -0.031	    0.056	   -6.220
    0.020	    0.195	   -0.032	    0.012	   -6.200
    0.021	    0.192	   -0.034	   -0.024	   -6.180
    0.015	    0.194	   -0.037	   -0.069	   -6.160
    0.008	    0.192	   -0.037	   -0.024	   -6.140
    0.006	    0.190	   -0.031	    0.011	   -6.120
    0.005	    0.193	   -0.031	    0.035	   -6.100
    0.012	    0.191	   -0.040	   -0.024	   -6.080
    0.023	    0.189	   -0.049	   -0.078	   -6.060
    0.024	    0.186	   -0.046	   -0.066	   -6.040
    0.019	    0.191	   -0.039	    0.010	   -6.020
    0.020	    0.187	   -0.028	    0.014	   -6.000
    0.012	    0.188	   -0.030	   -0.027	   -5.980
    0.011	    0.191	   -0.035	   -0.056	   -5.960
    0.013	    0.190	   -0.035	   -0.044	   -5.940
    0.022	    0.189	   -0.036	    0.026	   -5.920
    0.018	    0.191	   -0.032	    0.038	   -5.900
    0.015	    0.189	   -0.030	    0.002	   -5.880
    0.009	    0.188	   -0.038	   -0.066	   -5.860
   -0.001	    0.187	   -0.042	   -0.065	   -5.840
   -0.003	    0.192	   -0.036	   -0.063	   -5.820
    0.005	    0.192	   -0.043	    0.040	   -5.800
    0.005	    0.192	   -0.044	   -0.017	   -5.780
    0.009	    0.190	   -0.046	   -0.052	   -5.760
    0.022	    0.189	   -0.034	   -0.078	   -5.740
    0.020	    0.190	   -0.040	    0.016	   -5.720
    0.013	    0.190	   -0.040	    0.035	   -5.700
    0.011	    0.188	   -0.039	    0.002	   -5.680
    0.002	    0.188	   -0.037	   -0.030	   -5.660
    0.001	    0.188	   -0.035	   -0.070	   -5.640
    0.013	    0.186	   -0.036	   -0.028	   -5.620
    0.022	    0.187	   -0.034	    0.003	   -5.600
    0.028	    0.188	   -0.034	   -0.006	   -5.580
    0.040	    0.185	   -0.042	   -0.040	   -5.560
    0.036	    0.184	   -0.042	   -0.080	   -5.540
    0.025	    0.185	   -0.049	   -0.063	   -5.520
    0.021	    0.183	   -0.044	   -0.017	   -5.500
    0.013	    0.188	   -0.034	    0.033	   -5.480
    0.012	    0.186	   -0.035	   -0.016	   -5.460
    0.018	    0.185	   -0.037	   -0.062	   -5.440
    0.023	    0.186	   -0.032	   -0.020	   -5.420
    0.041	    0.186	   -0.029	    0.028	   -5.400
    0.051	    0.185	   -0.029	    0.034	   -5.380
    0.047	    0.188	   -0.040	   -0.032	   -5.360
    0.036	    0.185	   -0.037	   -0.072	   -5.340
    0.037	    0.184	   -0.037	   -0.071	   -5.320
    0.031	    0.187	   -0.034	   -0.051	   -5.300
    0.033	    0.185	   -0.038	    0.043	   -5.280
    0.043	    0.186	   -0.039	    0.006	   -5.260
    0.045	    0.186	   -0.027	   -0.037	   -5.240
    0.046	    0.186	   -0.031	   -0.054	   -5.220
    0.044	    0.187	   -0.039	    0.003	   -5.200
    0.034	    0.188	   -0.034	    0.019	   -5.180
    0.043	    0.189	   -0.036	    0.011	   -5.160
    0.045	    0.189	   -0.029	   -0.055	   -5.140
    0.044	    0.190	   -0.025	   -0.046	   -5.120
    0.059	    0.189	   -0.030	   -0.018	   -5.100
    0.061	    0.187	   -0.039	    0.015	   -5.080
    0.048	    0.186	   -0.036	    0.002	   -5.060
    0.057	    0.189	   -0.035	   -0.024	   -5.040
    0.054	    0.191	   -0.028	   -0.011	   -5.020
    0.043	    0.190	   -0.020	   -0.012	   -5.000
    0.069	    0.187	   -0.026	    0.023	   -4.980
    0.084	    0.188	   -0.018	    0.030	   -4.960
    0.080	    0.188	   -0.025	   -0.013	   -4.940
    0.100	    0.186	   -0.027	   -0.088	   -4.920
    0.097	    0.187	   -0.026	   -0.046	   -4.900
    0.085	    0.187	   -0.025	   -0.005	   -4.880
    0.086	    0.190	   -0.024	    0.031	   -4.860
    0.084	    0.186	   -0.029	   -0.037	   -4.840
    0.075	    0.186	   -0.028	   -0.053	   -4.820
    0.086	    0.187	   -0.024	   -0.053	   -4.800
    0.086	    0.187	   -0.023	    0.040	   -4.780
    0.099	    0.185	   -0.023	    0.040	   -4.760
    0.127	    0.186	   -0.017	    0.016	   -4.740
    0.122	    0.187	   -0.014	   -0.064	   -4.720
    0.132	    0.186	   -0.013	   -0.044	   -4.700
    0.147	    0.187	   -0.008	    0.019	   -4.680
    0.165	    0.189	   -0.020	    0.044	   -4.660
    0.166	    0.189	   -0.012	    0.020	   -4.640
    0.148	    0.188	   -0.005	   -0.038	   -4.620
    0.125	    0.188	    0.002	   -0.045	   -4.600
    0.131	    0.188	   -0.001	    0.001	   -4.580
    0.128	    0.187	   -0.012	    0.064	   -4.560
    0.136	    0.188	   -0.010	    0.035	   -4.540
    0.159	    0.190	   -0.014	   -0.003	   -4.520
    0.183	    0.186	    0.012	   -0.045	   -4.500
    0.189	    0.189	    0.006	    0.014	   -4.480
    0.191	    0.186	    0.010	    0.042	   -4.460
    0.170	    0.186	    0.013	    0.071	   -4.440
    0.160	    0.187	    0.009	   -0.026	   -4.420
    0.159	    0.186	    0.014	   -0.029	   -4.400
    0.163	    0.187	    0.019	    0.004	   -4.380
    0.178	    0.186	    0.013	    0.068	   -4.360
    0.218	    0.183	    0.009	    0.050	   -4.340
    0.236	    0.185	    0.012	    0.017	   -4.320
    0.249	    0.186	    0.014	   -0.014	   -4.300
    0.253	    0.184	    0.009	    0.003	   -4.280
    0.235	    0.184	    0.016	    0.045	   -4.260
    0.206	    0.184	    0.017	    0.071	   -4.240
    0.185	    0.184	    0.028	    0.025	   -4.220
    0.176	    0.186	    0.028	   -0.007	   -4.200
    0.179	    0.186	    0.031	    0.001	   -4.180
    0.168	    0.184	    0.030	    0.044	   -4.160
    0.178	    0.186	    0.042	    0.105	   -4.140
    0.230	    0.182	    0.036	    0.039	   -4.120
    0.250	    0.186	    0.045	    0.005	   -4.100
    0.264	    0.185	    0.052	   -0.008	   -4.080
    0.246	    0.187	    0.053	    0.013	   -4.060
    0.226	    0.186	    0.042	    0.122	   -4.040
    0.234	    0.187	    0.046	    0.098	   -4.020
    0.236	    0.188	    0.062	    0.030	   -4.000
    0.215	    0.188	    0.066	    0.030	   -3.980
    0.235	    0.187	    0.069	    0.054	   -3.960
    0.236	    0.185	    0.066	    0.099	   -3.940
    0.215	    0.184	    0.062	    0.090	   -3.920
    0.224	    0.186	    0.067	    0.096	   -3.900
    0.230	    0.186	    0.076	    0.030	   -3.880
    0.276	    0.187	    0.079	    0.090	   -3.860
    0.365	    0.187	    0.070	    0.125	   -3.840
    0.363	    0.188	    0.082	    0.079	   -3.820
    0.373	    0.186	    0.074	    0.074	   -3.800
    0.372	    0.188	    0.081	    0.034	   -3.780
    0.306	    0.187	    0.087	    0.062	   -3.760
    0.255	    0.187	    0.086	    0.096	   -3.740
    0.209	    0.186	    0.089	    0.121	   -3.720
    0.184	    0.187	    0.098	    0.087	   -3.700
    0.180	    0.187	    0.103	    0.054	   -3.680
    0.187	    0.186	    0.104	    0.060	   -3.660
    0.192	    0.186	    0.111	    0.147	   -3.640
    0.199	    0.185	    0.102	    0.143	   -3.620
    0.187	    0.187	    0.110	    0.137	   -3.600
    0.171	    0.185	    0.109	    0.130	   -3.580
    0.169	    0.184	    0.114	    0.060	   -3.560
    0.150	    0.185	    0.109	    0.088	   -3.540
    0.144	    0.186	    0.117	    0.165	   -3.520
    0.143	    0.185	    0.124	    0.111	   -3.500
    0.128	    0.186	    0.127	    0.074	   -3.480
    0.118	    0.186	    0.130	    0.082	   -3.460
    0.127	    0.182	    0.132	    0.109	   -3.440
    0.127	    0.183	    0.126	    0.182	   -3.420
    0.136	    0.182	    0.135	    0.161	   -3.400
    0.154	    0.183	    0.131	    0.120	   -3.380
    0.151	    0.183	    0.140	    0.091	   -3.360
    0.151	    0.183	    0.138	    0.143	   -3.340
    0.142	    0.181	    0.138	    0.158	   -3.320
    0.144	    0.184	    0.131	    0.193	   -3.300
    0.126	    0.182	    0.129	    0.092	   -3.280
    0.109	    0.180	    0.127	    0.090	   -3.260
    0.111	    0.184	    0.134	    0.103	   -3.240
    0.121	    0.181	    0.145	    0.173	   -3.220
    0.126	    0.181	    0.144	    0.177	   -3.200
    0.109	    0.182	    0.141	    0.135	   -3.180
    0.090	    0.182	    0.146	    0.104	   -3.160
    0.071	    0.180	    0.139	    0.105	   -3.140
    0.047	    0.182	    0.143	    0.185	   -3.120
    0.054	    0.179	    0.144	    0.109	   -3.100
    0.065	    0.180	    0.143	    0.155	   -3.080
    0.063	    0.178	    0.136	    0.086	   -3.060
    0.067	    0.179	    0.137	    0.102	   -3.040
    0.062	    0.178	    0.138	    0.102	   -3.020
    0.052	    0.178	    0.137	    0.203	   -3.000
    0.045	    0.179	    0.134	    0.174	   -2.980
    0.040	    0.177	    0.146	    0.116	   -2.960
    0.038	    0.179	    0.140	    0.099	   -2.940
    0.035	    0.176	    0.139	    0.167	   -2.920
    0.042	    0.179	    0.132	    0.205	   -2.900
    0.052	    0.178	    0.134	    0.161	   -2.880
    0.045	    0.175	    0.133	    0.072	   -2.860
    0.033	    0.175	    0.130	    0.081	   -2.840
    0.030	    0.177	    0.124	    0.161	   -2.820
    0.019	    0.175	    0.124	    0.178	   -2.800
    0.013	    0.174	    0.121	    0.138	   -2.780
    0.020	    0.173	    0.117	    0.107	   -2.760
    0.030	    0.175	    0.111	    0.070	   -2.740
    0.043	    0.177	    0.122	    0.149	   -2.720
    0.063	    0.174	    0.114	    0.187	   -2.700
    0.062	    0.175	    0.118	    0.169	   -2.680
    0.043	    0.174	    0.116	    0.111	   -2.660
    0.030	    0.172	    0.104	    0.061	   -2.640
   -0.008	    0.174	    0.107	    0.102	   -2.620
   -0.003	    0.176	    0.110	    0.155	   -2.600
   -0.002	    0.174	    0.104	    0.172	   -2.580
    0.012	    0.175	    0.092	    0.090	   -2.560
    0.034	    0.176	    0.086	    0.055	   -2.540
    0.036	    0.175	    0.078	    0.075	   -2.520
    0.030	    0.176	    0.079	    0.154	   -2.500
    0.037	    0.176	    0.087	    0.134	   -2.480
    0.023	    0.174	    0.082	    0.098	   -2.460
   -0.007	    0.175	    0.081	    0.049	   -2.440
   -0.003	    0.175	    0.063	    0.073	   -2.420
    0.008	    0.175	    0.061	    0.119	   -2.400
   -0.003	    0.174	    0.063	    0.146	   -2.380
    0.008	    0.176	    0.063	    0.075	   -2.360
    0.019	    0.171	    0.057	    0.012	   -2.340
    0.010	    0.173	    0.042	    0.018	   -2.320
    0.003	    0.174	    0.042	    0.030	   -2.300
    0.020	    0.172	    0.038	    0.136	   -2.280
    0.003	    0.174	    0.042	    0.107	   -2.260
   -0.001	    0.173	    0.025	    0.048	   -2.240
    0.014	    0.173	    0.034	    0.009	   -2.220
    0.017	    0.170	    0.021	    0.060	   -2.200
   -0.012	    0.174	    0.012	    0.089	   -2.180
   -0.004	    0.171	    0.021	    0.081	   -2.160
    0.010	    0.172	    0.012	    0.000	   -2.140
    0.018	    0.174	    0.018	    0.054	   -2.120
    0.031	    0.173	    0.007	    0.007	   -2.100
    0.030	    0.172	    0.000	    0.053	   -2.080
    0.011	    0.172	   -0.006	    0.045	   -2.060
    0.005	    0.171	   -0.011	   -0.002	   -2.040
   -0.001	    0.171	   -0.022	   -0.020	   -2.020
   -0.009	    0.170	   -0.028	   -0.013	   -2.000
   -0.008	    0.172	   -0.016	   -0.014	   -1.980
    0.006	    0.169	   -0.031	    0.037	   -1.960
    0.005	    0.170	   -0.021	    0.007	   -1.940
    0.009	    0.171	   -0.037	   -0.045	   -1.920
    0.016	    0.170	   -0.039	   -0.025	   -1.900
    0.016	    0.171	   -0.049	   -0.001	   -1.880
    0.013	    0.169	   -0.032	    0.032	   -1.860
    0.011	    0.169	   -0.042	   -0.030	   -1.840
    0.001	    0.169	   -0.050	   -0.066	   -1.820
    0.002	    0.168	   -0.072	   -0.062	   -1.800
    0.012	    0.168	   -0.065	   -0.007	   -1.780
    0.011	    0.168	   -0.070	   -0.001	   -1.760
    0.008	    0.168	   -0.065	   -0.037	   -1.740
    0.009	    0.169	   -0.067	   -0.100	   -1.720
    0.012	    0.168	   -0.076	   -0.092	   -1.700
   -0.004	    0.168	   -0.076	   -0.062	   -1.680
    0.001	    0.167	   -0.071	    0.002	   -1.660
    0.012	    0.166	   -0.077	   -0.036	   -1.640
    0.005	    0.168	   -0.085	   -0.091	   -1.620
    0.008	    0.167	   -0.084	   -0.083	   -1.600
    0.022	    0.167	   -0.089	   -0.067	   -1.580
    0.020	    0.165	   -0.101	   -0.008	   -1.560
    0.017	    0.165	   -0.101	   -0.029	   -1.540
    0.009	    0.166	   -0.101	   -0.064	   -1.520
   -0.001	    0.167	   -0.112	   -0.122	   -1.500
   -0.005	    0.163	   -0.110	   -0.082	   -1.480
    0.004	    0.164	   -0.099	   -0.038	   -1.460
    0.010	    0.165	   -0.105	   -0.036	   -1.440
    0.014	    0.166	   -0.117	   -0.104	   -1.420
    0.016	    0.164	   -0.118	   -0.127	   -1.400
    0.016	    0.166	   -0.123	   -0.116	   -1.380
    0.011	    0.162	   -0.115	   -0.033	   -1.360
    0.005	    0.161	   -0.114	   -0.054	   -1.340
   -0.004	    0.163	   -0.111	   -0.075	   -1.320
   -0.001	    0.161	   -0.125	   -0.147	   -1.300
   -0.003	    0.163	   -0.128	   -0.139	   -1.280
    0.004	    0.164	   -0.129	   -0.086	   -1.260
    0.016	    0.163	   -0.132	   -0.050	   -1.240
    0.023	    0.161	   -0.124	   -0.123	   -1.220
    0.023	    0.163	   -0.125	   -0.149	   -1.200
